Product ID,Current_Stock,Reorder_Level,Lead_Time_Days,avg_daily_demand,days_to_zero,predicted_stockout_date,stockout_risk
FUR-BO-10004709,152,50,7,3.375,45.03703703703704,1768438399999999996,0
TEC-PH-10000455,398,132,2,2.5,159.2,1778302080000000000,0
OFF-ST-10003692,320,106,9,4.0,80.0,1771459200000000000,0
TEC-AC-10002217,156,52,7,4.5,34.666666666666664,1767542400000000002,0
TEC-AC-10002942,121,40,7,2.4,50.41666666666667,1768903200000000002,0
TEC-PH-10002890,238,79,2,2.8333333333333335,84.0,1771804800000000000,0
FUR-TA-10000617,70,23,8,4.666666666666667,14.999999999999998,1765843200000000000,1
OFF-BI-10004364,152,50,4,3.111111111111111,48.857142857142854,1768768457142857146,0
TEC-CO-10000971,171,57,7,2.8,61.07142857142858,1769823771428571431,0
OFF-AR-10004078,264,88,4,4.0,66.0,1770249600000000000,0
OFF-BI-10002026,380,126,7,4.777777777777778,79.53488372093024,1771419013953488369,0
TEC-AC-10001714,137,45,6,3.2857142857142856,41.69565217391305,1768149704347826083,0
OFF-AR-10003958,422,140,2,2.0,211.0,1782777600000000000,0
TEC-PH-10002923,149,49,7,2.25,66.22222222222223,1770268799999999998,0
OFF-AR-10003696,409,136,6,1.0,409.0,1799884800000000000,0
FUR-FU-10004270,201,67,9,3.2222222222222223,62.37931034482759,1769936772413793104,0
OFF-PA-10004621,180,60,5,3.0,60.0,1769731200000000000,0
FUR-BO-10002545,199,66,6,4.333333333333333,45.92307692307693,1768514953846153844,0
OFF-BI-10001460,358,119,3,5.0,71.6,1770733440000000000,0
OFF-BI-10004236,307,102,7,3.888888888888889,78.94285714285715,1771367862857142862,0
OFF-AR-10001955,393,131,6,2.8,140.35714285714286,1776674057142857146,0
TEC-PH-10004080,463,154,4,3.25,142.46153846153845,1776855876923076926,0
TEC-AC-10000420,343,114,5,5.25,65.33333333333333,1770191999999999997,0
TEC-PH-10002726,435,145,8,6.5,66.92307692307692,1770329353846153844,0
FUR-FU-10002445,241,80,7,3.5,68.85714285714286,1770496457142857146,0
FUR-FU-10000076,493,164,3,2.5,197.2,1781585280000000000,0
TEC-AC-10002335,326,108,8,4.333333333333333,75.23076923076924,1771047138461538458,0
FUR-FU-10000010,210,70,6,3.5,60.0,1769731200000000000,0
OFF-PA-10001166,363,121,8,3.25,111.6923076923077,1774197415384615385,0
OFF-PA-10003656,71,23,8,4.666666666666667,15.214285714285714,1765861714285714284,0
TEC-PH-10000148,302,100,5,2.2,137.27272727272725,1776407563636363638,0
FUR-FU-10002268,285,95,9,8.0,35.625,1767625200000000000,0
OFF-PA-10004039,394,131,8,2.0,197.0,1781568000000000000,0
FUR-FU-10003374,98,32,8,5.5,17.818181818181817,1766086690909090907,0
OFF-EN-10003040,108,36,7,2.6666666666666665,40.5,1768046400000000000,0
OFF-AR-10001573,219,73,9,3.0,73.0,1770854400000000000,0
TEC-AC-10000844,237,79,5,2.75,86.18181818181819,1771993309090909092,0
FUR-TA-10002903,320,106,3,3.5,91.42857142857143,1772446628571428568,0
OFF-EN-10001137,239,79,6,3.0,79.66666666666667,1771430400000000002,0
OFF-PA-10004285,495,165,5,4.0,123.75,1775239200000000000,0
OFF-BI-10002225,224,74,5,3.0,74.66666666666667,1770998400000000002,0
OFF-PA-10001033,495,165,2,3.25,152.30769230769232,1777706584615384614,0
OFF-BI-10001634,100,33,5,2.75,36.36363636363637,1767689018181818184,0
TEC-AC-10003027,413,137,9,4.333333333333333,95.30769230769232,1772781784615384614,0
FUR-FU-10004017,104,34,2,3.0,34.666666666666664,1767542400000000002,0
TEC-AC-10003628,293,97,6,2.5714285714285716,113.94444444444444,1774391999999999996,0
TEC-AC-10002049,369,123,8,4.0,92.25,1772517600000000000,0
TEC-AC-10001142,180,60,7,5.0,36.0,1767657600000000000,0
FUR-CH-10004289,356,118,7,5.666666666666667,62.8235294117647,1769975152941176470,0
FUR-CH-10000785,184,61,6,4.0,46.0,1768521600000000000,0
OFF-FA-10003472,70,23,6,3.5,20.0,1766275200000000000,0
FUR-FU-10002107,378,126,9,5.5,68.72727272727273,1770485236363636361,0
FUR-BO-10002213,216,72,4,4.0,54.0,1769212800000000000,0
OFF-AP-10000692,323,107,8,3.6666666666666665,88.0909090909091,1772158254545454546,0
FUR-FU-10001475,437,145,6,3.5,124.85714285714286,1775334857142857146,0
