Product ID,Product Name,total_sales,total_profit,total_quantity,profit_margin
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",843.174,-117.882,9,-0.13980744188032365
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",276.96,33.8744,2,0.12230791450028887
FUR-BO-10000362,Sauder Inglewood Library Bookcases,136.784,5.1294,1,0.037500000000000006
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,722.066,-156.42759999999998,13,-0.21663892220378744
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,2709.8968,-562.744,19,-0.20766252058011953
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,1232.6039999999998,-12.097999999999999,11,-0.009814993298739904
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,483.887,12.209399999999995,9,0.025231923982252043
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.882,-190.8522,3,-2.1
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",782.5311999999999,-136.2192,8,-0.17407510397029538
FUR-BO-10001608,"Hon Metal Bookcases, Black",607.8399999999999,141.95999999999998,8,0.23354830218478548
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,446.90000000000003,27.193599999999996,6,0.060849407026180344
FUR-BO-10001798,Bush Somerset Collection Bookcase,1319.9569999999999,-56.3214,12,-0.04266911725154683
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",3767.8874,69.22540000000001,17,0.018372470472445647
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",554.2339999999999,-41.8548,4,-0.07551828289134192
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1392.277,-454.88480000000004,27,-0.32672004206059574
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",415.0268,-113.2606,3,-0.2728994850453031
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",363.833,-12.6882,1,-0.034873692051023406
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,3824.4480000000003,155.3038,9,0.04060816096858945
FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",838.635,-97.2762,7,-0.115993489420308
FUR-BO-10002268,Sauder Barrister Bookcases,657.9696,-46.9684,10,-0.07138384508949958
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3411.7400000000002,882.1124,13,0.25855205848042345
FUR-BO-10002598,"Hon Metal Bookcases, Putty",940.3480000000001,239.2026,13,0.25437667757043136
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1699.831,295.029,7,0.173563724864413
FUR-BO-10002824,Bush Mission Pointe Library,518.9008,-36.2352,4,-0.0698306882548649
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,409.7,-20.485,7,-0.05
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",1661.309,-72.039,15,-0.043362794037713634
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1229.2008,-5.748999999999995,11,-0.00467702266383165
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,530.352,-66.294,3,-0.125
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3505.84,206.87040000000002,8,0.05900737055883897
FUR-BO-10003433,Sauder Cornerstone Collection Library,210.272,-32.2192,8,-0.1532262973672196
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",1440.2982,73.71539999999999,18,0.05118065134011831
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",579.8,46.384,10,0.08
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,1137.192,-161.56800000000004,16,-0.14207627208070409
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",836.94,152.4762,3,0.1821829521829522
FUR-BO-10003893,Sauder Camden County Collection Library,81.864,-137.976,10,-1.6854294928173554
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",847.074,106.47,14,0.12569149802732701
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1119.586,-95.9194,7,-0.0856739902070944
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",826.9590000000001,59.843,5,0.07236513539365313
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",2755.7915,68.39430000000002,26,0.02481838702238541
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1113.4969999999998,63.441,9,0.05697455853046754
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,301.47,-241.176,3,-0.7999999999999999
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,364.3992,-91.7586,3,-0.2518079073719152
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",418.782,-92.274,10,-0.22033898305084748
FUR-BO-10004467,Bestar Classic Bookcase,1028.9075,-451.95480000000003,17,-0.4392569788829414
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,3788.384,698.5827999999999,22,0.18440126449694644
